timestamp_s,pred_class,soft_err,cte_px,for_spd,turn_spd,delta_turn_spd,off_line_prob,off_line
12.357,off_line,0.1157,NaN,0.05,0.0,0.0,0.8008,1
12.389,off_line,0.0775,NaN,0.05,0.0,0.0,0.8328,1
12.42,off_line,0.0488,NaN,0.05,0.0,0.0,0.8803,1
12.454,off_line,0.0488,NaN,0.05,0.0,0.0,0.8803,1
12.484,off_line,0.0451,NaN,0.05,0.0,0.0,0.8669,1
12.516,off_line,0.0337,NaN,0.05,0.0,0.0,0.8894,1
12.563,off_line,0.0337,NaN,0.05,0.0,0.0,0.8894,1
12.598,off_line,0.0348,NaN,0.05,0.0,0.0,0.906,1
12.628,off_line,0.0372,NaN,0.05,0.0,0.0,0.8938,1
12.661,off_line,0.0372,NaN,0.05,0.0,0.0,0.8938,1
12.693,off_line,0.0306,NaN,0.05,0.0,0.0,0.8969,1
12.725,off_line,0.0273,NaN,0.05,0.0,0.0,0.9089,1
12.758,off_line,0.0273,NaN,0.05,0.0,0.0,0.9089,1
12.789,off_line,0.0357,NaN,0.05,0.0,0.0,0.9166,1
12.821,off_line,0.0362,NaN,0.05,0.0,0.0,0.9122,1
12.853,off_line,0.0362,NaN,0.05,0.0,0.0,0.9122,1
12.884,off_line,0.0447,NaN,0.05,0.0,0.0,0.9022,1
12.917,off_line,0.04,NaN,0.05,0.0,0.0,0.9018,1
12.964,off_line,0.04,NaN,0.05,0.0,0.0,0.9018,1
12.996,off_line,0.0267,NaN,0.05,0.0,0.0,0.898,1
13.029,off_line,0.036,NaN,0.05,0.0,0.0,0.8883,1
13.061,off_line,0.036,NaN,0.05,0.0,0.0,0.8883,1
13.094,off_line,0.0437,NaN,0.05,0.0,0.0,0.8944,1
13.125,off_line,0.0327,NaN,0.05,0.0,0.0,0.9086,1
13.157,off_line,0.0256,NaN,0.05,0.0,0.0,0.9206,1
13.189,off_line,0.0295,NaN,0.05,0.0,0.0,0.9208,1
13.22,off_line,0.0295,NaN,0.05,0.0,0.0,0.9208,1
